pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z,pt8_X,pt8_Y,pt8_Z
26.956902000000003,4.169379,15.66584,27.459943,4.233699,15.727908,27.538565000000002,4.183363,14.918007999999999,27.33377,1.4630940000000001,13.111315,27.846605,1.045858,12.446788,26.337723999999998,0.27103299999999997,12.187905,25.058974,-0.21748800000000001,12.776181,,,
26.935736,4.2913239999999995,15.654831,27.472282,4.283686,15.661314,27.526424,4.204321,14.924970000000002,27.335873,1.5484,13.110821,27.838849,0.995482,12.448872999999999,26.388288,0.25096399999999996,12.236702000000001,25.058194,-0.216002,12.775271,,,
26.913010999999997,4.285323,15.651993,27.464431,4.309193,15.646654999999999,27.510763,4.21398,14.927176000000001,27.332652000000003,1.5671620000000002,13.10373,27.852171999999996,0.9553209999999999,12.526676,26.336496999999998,0.316629,12.185998,25.058194,-0.216002,12.775271,,,
26.935411,4.300215000000001,15.662887,27.414087,4.264936,15.730641,27.482721,4.214909,14.951292,27.298607,1.566376,13.086095,27.810692,1.0049860000000002,12.492071000000001,26.404747999999998,0.31901199999999996,12.218886,25.059085999999997,-0.21610100000000002,12.776547,,,
26.900114000000002,4.330906,15.641987,27.40662,4.321989,15.652171,27.458736,4.24174,14.931864000000001,27.282348,1.583896,13.11471,27.815739,1.065803,12.43415,26.358359000000004,0.26365900000000003,12.261409,25.057046,-0.21379499999999999,12.775861,,,
26.887548,4.367583,15.623935000000001,27.392134000000002,4.33286,15.658960999999998,27.443975,4.257569,14.937399,27.277577,1.5936290000000002,13.110184,27.815393,1.073118,12.44106,26.37795,0.31488,12.215119,25.057046,-0.21379499999999999,12.775861,,,
26.888713,4.387042,15.630798,27.383622999999996,4.345837,15.645980999999999,27.430365999999996,4.274611,14.94356,27.26482,1.59179,13.124243,27.807321,1.0668030000000002,12.469456,26.375773,0.312717,12.225483,25.056997,-0.21282600000000002,12.77679,,,
26.867161,4.400514,15.634808999999999,27.376568,4.36988,15.632266,27.419344,4.290068,14.936134,27.260834000000003,1.6274879999999998,13.133114,27.789533000000002,1.079381,12.469097999999999,26.360796,0.332212,12.198709,25.055737,-0.212006,12.777014,,,
26.842432000000002,4.34671,15.610192000000001,27.365728999999998,4.386703,15.616035,27.405144,4.306044,14.926975,27.257640999999996,1.645752,13.125573000000001,27.7714,1.099277,12.475646000000001,26.355148,0.386764,12.157885,25.055093,-0.209617,12.776006,,,
26.800952000000002,4.407239,15.543510999999999,27.347998999999998,4.428323000000001,15.611182000000001,27.387234000000003,4.325751,14.91496,27.247224,1.651471,13.137981,27.775289,1.107375,12.459213,26.334289000000002,0.368177,12.220829,25.053809,-0.208312,12.776695,,,
